Scenario,Accuracy,F1-Weighted
Full Test Mix,0.9933263083948015,0.9933998414067231
Missing Iodine,0.9941331706037588,0.9956324797925652
Missing DNS2TCP,0.9970512333206634,0.9974264524586628
Missing Dnscat2,0.9945714906923426,0.9961349909676591
