Classifier,F1-Weighted,Accuracy,Balanced Acc
Random Forest (Proposed),0.9909995342364406,0.9907801965269389,0.9606745159004577
Logistic Regression (LR),0.959177072968564,0.9588064458094528,0.8000352119502862
Decision Tree (DT),0.9802261915823921,0.9793312601197667,0.9038722909479454
