Feature Subset Strategy,Feature Count,F1-Weighted,MCC Score,Train Time (s),Latency (ms/pkt)
Baseline (All 32),32,0.9939012312044846,0.9828509356717707,8.153048038482666,0.00041629121276739913
Proposed-Penalty GA (10),10,0.9933998414067231,0.9814573183603906,3.2788689136505127,0.0002672546308808427
SOTA: Matrix-GA (19),19,0.9937961267271717,0.9825420453705863,5.89377498626709,0.00032169218149222516
SOTA: JAYA-GA (19),19,0.9942340974371741,0.9837983783631622,6.4058449268341064,0.0003031092295388124
